celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:65006,12205,Pamonha,05202,Fubá de milho; Creme de milho,form#6cb165ee,FARINHA AMARELA | FARINHA DE FUBA | FARINHA DE MILHO | FECULA DE MILHO | FLOR DE MILHO | FUBA | FUBA DE MILHO | MASSA DE CANJICA | MASSA DE MILHO | MASSA DE PUBA | MASSA PARA PAMONHA | MILHARINA | MILHO MOIDO | MINGAU DE MILHO | MUCILON DE MILHO | PUBA DE FUBA | PUBA DE MILHO | SEMOLA DE MILHO
2017:65075,01199,Outros,01103,Outros,,CHIA
2017:69015,12304,Melado de cana,12103,Outros,form#adef62d8,MELADO | MELADO DE CANA
2017:69016,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL | MEL COM AGRIAO | MEL COM ALHO | MEL COM PROPOLIS | MEL COMPOSTO | MEL DE ABELHA | MEL DE ENGENHO | MEL DE ROMA
2017:69017,12305,Gelatina,12204,Outros; Rapadura; Bombom; Chiclete; Chocolate em tablete,form#0abe6e37,GELATINA | GELATINA EM FOLHA | GELATINA EM PO
2017:69033,01299,Outras,01209,Outras,,AMENDOIM APIMENTADO | AMENDOIM COZIDO | AMENDOIM DOCE | AMENDOIM JAPONES | AMENDOIM SALGADO | AMENDOIM TORRADO
2017:69051,12205,Pamonha,12202,Doce de fruta,form#6cb165ee,PAMONHA
2017:69081,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA DE DIETA | GELATINA DIET | GELATINA DIETETICA
2017:69090,12303,Mel de abelha,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#200cea26,MEL DE ABELHA ORGANICO | MEL ORGANICO | MEL ORGANICO COM ALHO | MEL ORGANICO COM PROPOLIS | MEL ORGANICO COMPOSTO | MEL ORGANICO DE ENGENHO | MEL ORGANICO DE ROMA
2017:69139,12305,Gelatina,12302,Outros; Polpa de fruta; Gelatina; Mel de abelha,form#0abe6e37,GELATINA EM FOLHA LIGHT | GELATINA EM PO LIGHT | GELATINA LIGHT
2017:77011,01299,Outras,01209,Outras,,LEGUME EM CONSERVA NAO-ESPECIFICADO | LEGUME NAO-ESPECIFICADO EM CONSERVA
2017:82020,15211,Caldo de cana,15209,Outras,form#78e2d7ab,CALDO DE CANA | GARAPA
2017:82021,15210,Agua de coco,15209,Outras,form#fe868d3f,AGUA DE COCO
2017:82037,15304,Café em grão,15303,Outros,form#c49e303a,CAFE EM GRAO
2017:82045,15212,Chocolate engarrafado ou encartonado,11106,Outros,form#211b47cd,CHOCOLATE ENGARRAFADO OU ENCARTONADO | CHOCOLATE LIQUIDO | CHOCOMILK ENCARTONADO | CHOCOMILK ENGARRAFADO
2017:82112,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,CHOCOLATE ENGARRAFADO OU ENCARTONADO LIGHT | CHOCOMILK ENCARTONADO LIGHT | CHOCOMILK ENGARRAFADO LIGHT
2017:82113,15212,Chocolate engarrafado ou encartonado,15209,Outras,form#211b47cd,CHOCOLATE ENGARRAFADO OU ENCARTONADO DIET | CHOCOLATE ENGARRAFADO OU ENCARTONADO DIETETICO | CHOCOMILK ENCARTONADO DIET | CHOCOMILK ENCARTONADO LIGHT DIETETICO | CHOCOMILK ENGARRAFADO DIET | CHOCOMILK ENGARRAFADO LIGHT DIETETICO
